"x","year","gfn2gdp","efn2gdp","fcd2g_dweo","grossdebt2gdpweo","externdebt2gdp","credit2privat","stdebt2extdebt","ca2gdp","debtserv2res","int_exp2rev","inter_extdeb2gdp","debtserv2expor","crisis","country_1","country_2","country_3","country_4","country_5","country_6","country_7","country_8","country_9","country_10","country_11","country_12","country_13","country_14","country_15","country_16","country_17","country_18","country_19","country_20","country_21","country_22","country_23","country_24","country_25","country_26","country_27","country_28","country_29","country_30","country_31","country_32","country_33","country_34","country_35","country_36","country_37","country_38","country_39","country_40","country_41","country_42","country_43","country_44","country_45","country_46","country_47","country_48","country_49","country_50","country_51","country_52","country_53","country_54","country_55","country_56","country_57","country_58","country_59","country_60","country_61","country_62","country_63","country_64","country_65","country_66","country_67","country_68","country_69","country_70","country_71","country_72","country_73","country_74","country_75","country_76","country_77","country_78","country_79","country_80","country_81","country_82","country_83","country_84","country_85","country_86","country_87","country_88","country_89","country_90","country_91","country_92","country_93","country_94","country_95","country_96","country_97","country_98","country_99","country_100","country_101","country_102","country_103","country_104","country_105","country_106","country_107","country_108","country_109","country_110","country_111","country_112","country_113","country_114","country_115","country_116","gfn2gdp_growth","efn2gdp_growth","fcd2g_dweo_growth","grossdebt2gdpweo_growth","externdebt2gdp_growth","credit2privat_growth","stdebt2extdebt_growth","ca2gdp_growth","debtserv2res_growth","int_exp2rev_growth","inter_extdeb2gdp_growth","debtserv2expor_growth"
0,1990,8.42467429246716,26.0049479540219,40.3276200603074,0.504628175869243,0,73.924386100317,0.0144014089585673,-2.69054937362671,223.078808780724,9.28897233880332,0,31.4360874290721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1991,8.42467429246716,26.0049479540219,40.3276200603074,0.504628175869243,3.95562338829041,73.924386100317,0,-4.31294250488281,223.078808780724,9.28897233880332,0.139587163925171,2.18068242073059,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inf,0,-1,0.602996974208732,0,0,Inf,-0.930631239474353
2,1996,8.42467429246716,26.0049479540219,40.3276200603074,0.504628175869243,27.3567867279053,3.83270072937012,0,-1.96833789348602,223.078808780724,9.28897233880332,0.20838175714016,2.6921181678772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.91592298925321,-0.948153769932305,NA,-0.54362065080682,0,0,0.492843262091547,0.234530137118848
3,1997,8.42467429246716,26.0049479540219,40.3276200603074,0.504628175869243,26.3522529602051,3.76337623596191,0,-7.893714427948,223.078808780724,9.28897233880332,0.406012982130051,8.06018161773682,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0367197280035642,-0.0180876354047075,NA,3.01034520245294,0,0,0.948409437093682,1.9939925051999
4,1999,8.42467429246716,26.0049479540219,34.0467567443848,0.711836814880371,39.1409721374512,3.83748841285706,0,-6.9437837600708,223.078808780724,33.7840843200684,0.605327427387238,9.08697700500488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15574594549666,0.410616467568824,0.48529889252955,0.0196930023065309,NA,-0.120340136009219,0,2.63700989601835,0.490906581882015,0.1273910981123
5,2000,8.42467429246716,26.0049479540219,32.2295417785645,0.681826412677765,33.8274688720703,3.73658800125122,0,-1.94600749015808,223.078808780724,27.2867221832275,0.434110969305038,4.23191070556641,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0533740990210476,-0.0421591038497351,-0.135752971252769,-0.0262933462594388,NA,-0.719748258672986,0,-0.192320208394142,-0.282849331346536,-0.534288388400722
6,2001,8.42467429246716,7.52659177780151,31.0563831329346,0.637686848640442,33.0709533691406,3.95926642417908,0,-7.06830072402954,-14.4546718597412,22.6363582611084,0.361580044031143,4.06586217880249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.710570780948729,-0.0364001031628113,-0.0647372457514104,-0.0223639405534803,0.0595940528774623,NA,2.63220633002567,-1.06479625715569,-0.170425890324694,-0.167079227207755,-0.0392372472664666
7,2002,8.42467429246716,6.83411598205566,29.3863945007324,0.606127798557281,31.658088684082,4.74249172210693,0,-6.31360244750977,-21.5231666564941,16.2178153991699,0.289746284484863,3.79196071624756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0920038997980729,-0.0537727984953652,-0.0494898870040127,-0.0427222242216028,0.197820811740461,NA,-0.106772236494422,0.489011086888795,-0.283550153602499,-0.19866627246744,-0.067366145360983
8,2003,8.42467429246716,11.1068201065063,33.3637428283691,0.640969157218933,26.7680740356445,5.98935222625732,0,-10.1696281433105,134.779006958008,16.0175685882568,0.423952221870422,6.49066925048828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625202167430216,0.135346591346468,0.0574818689137535,-0.154463356813333,0.262912531473318,NA,0.610748891438625,-7.2620435509819,-0.0123473356913,0.46318432563911,0.711692112916008
9,2004,8.42467429246716,8.37722778320312,31.2351226806641,0.602445602416992,24.8591537475586,6.4191746711731,0,-7.69325637817383,5.90294504165649,17.8345966339111,0.374902606010437,5.08816623687744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.245758218565567,-0.063800400292473,-0.0601020413666841,-0.0713133221891126,0.0717644293871096,NA,-0.243506618948073,-0.956202785768442,0.113439691900957,-0.115696093403131,-0.216079877048939
10,2005,69.473274230957,6.72288990020752,30.3711414337158,0.57474273443222,23.1072673797607,7.54746675491333,0,-5.84688377380371,6.27853965759277,15.4174909591675,0.311005026102066,5.2970495223999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.24640476523536,-0.197480350995428,-0.0276605683858282,-0.0459840156084279,-0.0704724861348067,0.175769026633145,NA,-0.239998839712189,0.0636283436972132,-0.13552903518702,-0.170437812071629,0.0410527635690321
11,2006,60.2213821411133,9.88376235961914,30.0596103668213,0.582033574581146,20.7147731781006,9.54945945739746,0,-9.11299991607666,6.46041059494019,12.7260513305664,0.379340589046478,4.96063184738159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.133171959897654,0.470165733238328,-0.0102574698278772,0.0126853976781947,-0.103538603779506,0.265253596669486,NA,0.558608015590528,0.0289670763053111,-0.174570533929887,0.219724947216724,-0.0635103888675543
12,2007,54.8119812011719,7.86104106903076,29.4706077575684,0.566881060600281,25.4233551025391,15.2636299133301,0,-6.1108226776123,11.5141658782959,11.0505886077881,0.587660849094391,9.08208847045898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0898252538818499,-0.204650943334328,-0.0195944858255066,-0.0260337455477029,0.227305502404262,0.598376325008234,NA,-0.329438962593216,0.782265338880137,-0.131656134275843,0.549164170835377,0.830832996658047
13,2008,49.3374671936035,12.9513397216797,28.5301284790039,0.535503029823303,25.1213340759277,22.1732597351074,0,-10.6606006622314,14.749095916748,10.1189308166504,0.649779558181763,10.4021806716919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0998780538049829,0.647534926729055,-0.0319124493902888,-0.0553520534691189,-0.0118796683361893,0.452685885402856,NA,0.744544265911654,0.280952182958382,-0.0843084313609407,0.105705032389174,0.145351171762611
14,2009,42.9323196411133,19.1052799224854,33.6271934509277,0.551398038864136,27.6923446655273,29.9638404846191,0,-15.8050632476807,20.6962471008301,10.7924575805664,0.320455968379974,12.3396520614624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129823193544898,0.475158580737742,0.178655521151084,0.0296823886245374,0.102343712393175,0.351350267961581,NA,0.482567797861063,0.403221405410271,0.0665610602661446,-0.506823561398752,0.186256271729933
15,2010,44.4143333435059,22.9358596801758,40.0039520263672,0.596664845943451,33.8208427429199,35.4401435852051,0,-15.9499702453613,37.7617073059082,12.1617593765259,0.518266320228577,26.4111442565918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345197677363176,0.200498489068572,0.189631007557769,0.0820946102248814,0.221306579540793,0.182763724943637,NA,0.00916839087638133,0.824567861116892,0.126875809864208,0.617277789671411,1.14034756612592
16,2011,35.3437652587891,16.5751094818115,44.3267135620117,0.577195525169373,33.2643737792969,36.9178009033203,0,-11.2943515777588,27.678596496582,12.9747734069824,0.556858837604523,17.9578666687012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.204226145072671,-0.277327742978043,0.108058362153703,-0.0326302461196508,-0.016453432809256,0.0416944506605244,NA,-0.29188886223512,-0.267019463067248,0.0668500342167424,0.0744646446616966,-0.320064799380316
17,2012,32.5436668395996,14.86851978302,44.1135635375977,0.594126284122467,33.2966232299805,37.5083923339844,0,-13.2076930999756,13.5680599212646,12.4445829391479,0.991015553474426,7.79272985458374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0792246779223146,-0.102960991036844,-0.00480861330077786,0.0293327966257644,0.000969489186766648,0.0159974704942663,NA,0.169406938419078,-0.509799569391456,-0.040863177429299,0.779653094377643,-0.566054810498971
18,2013,33.1677742004395,12.2759704589844,45.4665832519531,0.621444642543793,51.6140403747559,39.4608993530273,0,-10.1495628356934,14.7940950393677,12.5604791641235,0.9800945520401,9.29462051391602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191775365669742,-0.174364991395872,0.0306712857872455,0.0459807269117463,0.550128372425534,0.0520552041169171,NA,-0.231541590278766,0.0903618590437911,0.00931298586238682,-0.0110200101260146,0.19272972210744
19,2014,36.3615837097168,13.0092096328735,40.3368606567383,0.703910648822784,60.463005065918,39.0602912902832,0,-9.25136089324951,19.8585300445557,13.3870315551758,0.532353341579437,14.8375377655029,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0962925486038502,0.0597296300393528,-0.112824017736026,0.132700486307886,0.171444913572201,-0.0101520256586196,NA,-0.0884966137935622,0.342328137794933,0.0658058008975586,-0.456834710006983,0.596357564387701
20,2017,28.3043594360352,13.4864902496338,48.6340370178223,0.733088970184326,61.9940032958984,35.6401062011719,0,-7.57538986206055,29.4025821685791,8.99433612823486,1.78311598300934,26.5493412017822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.221586175618873,0.0366879026650622,0.205697127292377,0.0414517402320016,0.0253212394638895,-0.0875616892791106,NA,-0.181159404603044,0.4806021443989,-0.328130654569391,2.3494971173075,0.789336048970947
21,1990,25.3602406183879,9.89574023655483,55.8686930338542,0.698478281497955,46.8603591918945,68.1467742919922,0.013936361297965,-1.96543312072754,595.220761299133,6.18503570556641,3.80529952049255,46.6577920913696,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1991,22.4161218007406,6.30499022347586,63.1033490498861,0.663867592811584,45.852294921875,63.1937141418457,0.0278727225959301,2.18121147155762,1161.03894042969,5.61797761917114,3.48993825912476,66.766242980957,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.116091911821713,-0.362858151815136,0.12949391910149,-0.0495515603035571,-0.021512090120596,-0.0726822392050992,1,-2.10978666664079,0.950602223443274,-0.0916822656148812,-0.0828742283411578,0.430977334937092
23,1993,19.4720029830933,2.7142402103969,70.338005065918,0.629256904125214,54.2052230834961,46.2891654968262,0.0296873822808266,2.62106370925903,639.072875976562,7.29167079925537,4.93735265731812,79.5548248291016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131339347805918,-0.569509211879384,0.114647734628357,-0.0521349272974586,0.182170340129172,-0.267503641376028,0.065105218144762,0.201655017606942,-0.449568094813384,0.297917381225018,0.414739256320356,0.191542631083676
24,1994,16.527884165446,-0.87650980268206,57.8739128112793,0.740278780460358,50.4761428833008,7.25481748580933,0.0272119417786598,1.58939802646637,603.333312988281,8.43486404418945,4.31688356399536,82.1234130859375,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.151197533207219,-1.32293007793658,-0.177202811523554,0.176433306662698,-0.0687955881013744,-0.843271802203763,-0.0833835896594189,-0.393605725472546,-0.055924080541938,0.156780699020425,-0.125668376635624,0.0322870204585799
25,1999,13.5837653477987,-4.46725981576102,70.1801681518555,0.728631854057312,63.2382774353027,3.90741682052612,0.00695697823539376,-1.88845312595367,81.2153091430664,14.3048973083496,4.98053550720215,51.1029396057129,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.178130412106979,4.09664558467174,0.212639075928831,-0.0157331625739735,0.252834979517108,-0.461403842595742,-0.744340984852115,-2.1881562041147,-0.865388985831379,0.695925059776614,0.153734038309934,-0.377729959271949
26,2000,10.6396465301514,-8.05800982883999,60.2310905456543,0.820190727710724,57.9689979553223,4.5638222694397,0.0061804698780179,0.0409457869827747,118.190002441406,12.738748550415,4.52450942993164,40.2607345581055,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.216738050331855,0.803792517375052,-0.141764801484565,0.125658620527741,-0.0833242095402,0.167989615406628,-0.111615751997808,-1.0216821833807,0.455267531312432,-0.109483397480975,-0.0915616556916555,-0.212164018963703
27,2001,7.69552771250407,-11.6487598419189,60.5045051574707,0.628132700920105,46.1396903991699,5.38809013366699,0.00684850150719285,16.6986122131348,38.4528961181641,10.2810297012329,3.31513142585754,20.2981815338135,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.276712089006346,0.445612513430736,0.00453942655428374,-0.234162640836823,-0.204062653718275,0.180609106920478,0.108087514761772,406.822475610485,-0.674651871360884,-0.192932519191774,-0.267294835562398,-0.495831813388339
28,2002,4.75140889485677,-7.59646511077881,56.3413925170898,0.542673349380493,41.4671440124512,5.9656400680542,0.0114532401785254,12.8958969116211,25.4013805389404,9.97468757629395,3.03537106513977,22.8121967315674,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.382575299269412,-0.347873489206778,-0.0688066554638506,-0.136053020984943,-0.101269565233208,0.107190102626242,0.672371710292584,-0.227726427380746,-0.339415672076218,-0.0297968329867024,-0.0843889200095306,0.123854208002129
29,2003,1.80729007720947,-2.53548693656921,57.612850189209,0.512507021427155,39.8902816772461,8.01426410675049,0.00450490228831768,7.67989206314087,19.6035995483398,8.55743598937988,2.83646988868713,22.6396312713623,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.619630699608741,-0.66622805481308,0.022567026040996,-0.0555883718774397,-0.0380267889857956,0.343403895529434,-0.606670058594924,-0.404470110472102,-0.228246688470832,-0.142084809782146,-0.0655277961686301,-0.00756461388772278
30,2004,-1.13682874043783,-8.5141429901123,55.6498908996582,0.421481788158417,34.411693572998,12.1997919082642,0,12.9789838790894,14.1165752410889,5.8523588180542,2.38714265823364,17.8640022277832,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.62902394849262,2.35799126681081,-0.0340715531882928,-0.177607777968122,-0.137341424374376,0.522259779034255,-1,0.689995610925461,-0.279898816221006,-0.316108373429003,-0.158410717577356,-0.210941114116994
